Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time
1436961277.928192,,good,Pot,,
1436961278.530776,,good,Pot,,
1436961283.34265,,good,Pot,,
1436961286.349021,,good,Pot,,
1436961288.15327,,good,Pot,,
1436961289.35688,,good,Pot,,
1436961305.611489,,good,Pot,,
1436961308.614651,,good,Pot,,
1436961309.81084,,good,Pot,,
1436961318.229563,,good,Pot,,
1436961319.429515,,good,Pot,,
1436961324.857339,,good,Pot,,
1436961325.464125,,good,Pot,,
1436961331.499106,,good,Pot,,
1436961334.506035,,good,Pot,,
1436961338.114121,,good,Pot,,
1436961339.320452,,good,Pot,,
1436961340.526371,,good,Pot,,
1436961341.12459,,good,Pot,,
1436961342.929006,,good,Pot,,
1436961344.728613,,good,Pot,,
1436961347.137037,,good,Pot,,
1436961347.736891,,good,Pot,,
1436961353.754286,,good,Pot,,
1436961366.427066,,good,Pot,,
1436961376.047244,,good,Pot,,
1436961377.249339,,good,Pot,,
1436961384.480861,,good,Pot,,
1436961398.336071,,good,Pot,,
1436961401.342807,,good,Pot,,
1436961404.363585,,good,Pot,,
1436961411.590988,,good,Pot,,
1436961416.40838,,good,Pot,,
1436961420.020274,,good,Pot,,
1436961427.229902,,good,Pot,,
1436961453.099154,,good,Pot,,
1436961456.098521,,good,Pot,,
1436961457.307448,,good,Pot,,
1436961457.914202,,good,Pot,,
1436961469.943054,,good,Pot,,
1436961472.962023,,good,Pot,,
1436961475.359396,,good,Pot,,
1436961483.177053,,good,Pot,,
1436961484.37918,,good,Pot,,
1436961486.171729,,good,Pot,,
1436961486.778272,,good,Pot,,
1436961506.641571,,good,Pot,,
1436961518.061687,,good,Pot,,
1436961530.699372,,good,Pot,,
1436961533.705667,,good,Pot,,
1436961559.566502,,good,Pot,,
1436961566.782611,,good,Pot,,
1436961567.982686,,good,Pot,,
1436961577.008499,,good,Pot,,
1436961578.214657,,good,Pot,,
1436961582.418467,,good,Pot,,
1436961583.013983,,good,Pot,,
1436961592.028464,,good,Pot,,
1436961613.667015,,good,Pot,,
1436961616.674393,,good,Pot,,
1436961620.893818,,good,Pot,,
1436961628.716501,,good,Pot,,
1436961632.329681,,good,Pot,,
1436961634.733388,,good,Pot,,
1436961647.957216,,good,Pot,,
1436961650.365591,,good,Pot,,
1436961654.582356,,good,Pot,,
1436961664.202591,,good,Pot,,
1436961673.837538,,good,Pot,,
1436961674.441531,,good,Pot,,
1436961675.65781,,good,Pot,,
1436961682.865088,,good,Pot,,
1436961683.464269,,good,Pot,,
1436961684.060629,,good,Pot,,
1436961696.691515,,good,Pot,,
1436961699.706549,,good,Pot,,
1436961704.509751,,good,Pot,,
1436961706.92438,,good,Pot,,
1436961709.931624,,good,Pot,,
1436961711.742481,,good,Pot,,
1436961720.766376,,good,Pot,,
1436961733.403773,,good,Pot,,
1436961745.416326,,good,Pot,,
1436961756.841664,,good,Pot,,
1436961763.457935,,good,Pot,,
1436961778.504514,,good,Pot,,
1436961785.711801,,good,Pot,,
1436961788.109372,,good,Pot,,
1436961793.531174,,good,Pot,,
1436961798.939059,,good,Pot,,
1436961807.357244,,good,Pot,,
1436961829.011248,,good,Pot,,
1436961830.217112,,good,Pot,,
1436961831.423915,,good,Pot,,
1436961832.629228,,good,Pot,,
1436961837.43785,,good,Pot,,
1436961838.636898,,good,Pot,,
1436961839.242166,,good,Pot,,
1436961844.063586,,good,Pot,,
1436961848.886051,,good,Pot,,
1436961853.698322,,good,Pot,,
1436961863.322738,,good,Pot,,
1436961870.541804,,good,Pot,,
1436961878.369326,,good,Pot,,
1436961882.579877,,good,Pot,,
1436961895.824126,,good,Pot,,
1436961901.223046,,good,Pot,,
1436961919.297346,,good,Pot,,
1436961921.110149,,good,Pot,,
1436961939.759785,,good,Pot,,
1436961947.576368,,good,Pot,,
1436961952.390839,,good,Pot,,
1436961953.599447,,good,Pot,,
1436961954.799618,,good,Pot,,
1436961957.797749,,good,Pot,,
1436961962.007144,,good,Pot,,
1436961968.626796,,good,Pot,,
1436961974.669896,,good,Pot,,
1436961978.876902,,good,Pot,,
1436961988.499387,,good,Pot,,
1436961995.730673,,good,Pot,,
1436961998.749315,,good,Pot,,
1436962005.964997,,good,Pot,,
1436962018.830887,,good,Pot,,
1436962025.451824,,good,Pot,,
1436962027.859273,,good,Pot,,
1436962030.867498,,good,Pot,,
1436962033.876791,,good,Pot,,
1436962035.685153,,good,Pot,,
1436962065.179799,,good,Pot,,
1436962074.799937,,good,Pot,,
1436962076.011085,,good,Pot,,
1436962079.019837,,good,Pot,,
1436962091.064627,,good,Pot,,
1436962102.488785,,good,Pot,,
1436962104.293765,,good,Pot,,
1436962107.301974,,good,Pot,,
1436962124.753603,,good,Pot,,
1436962125.352284,,good,Pot,,
1436962125.955265,,good,Pot,,
1436962128.368037,,good,Pot,,
1436962137.982316,,good,Pot,,
1436962145.795871,,good,Pot,,
1436962147.005844,,good,Pot,,
1436962150.010655,,good,Pot,,
1436962155.414273,,good,Pot,,
1436962169.254759,,good,Pot,,
1436962187.301773,,good,Pot,,
1436962198.71665,,good,Pot,,
1436962200.514719,,good,Pot,,
1436962202.319773,,good,Pot,,
1436962207.119095,,good,Pot,,
1436962219.1366,,good,Pot,,
1436962219.741527,,good,Pot,,
1436962229.966175,,good,Pot,,
1436962239.587273,,good,Pot,,
1436962240.794438,,good,Pot,,
1436962244.408604,,good,Pot,,
1436962245.617958,,good,Pot,,
1436962246.218345,,good,Pot,,
1436962252.821541,,good,Pot,,
1436962274.514305,,good,Pot,,
1436962278.114448,,good,Pot,,
1436962279.918747,,good,Pot,,
1436962283.534539,,good,Pot,,
1436962285.94276,,good,Pot,,
1436962299.192541,,good,Pot,,
1436962302.811492,,good,Pot,,
1436962314.833691,,good,Pot,,
1436962318.445539,,good,Pot,,
1436962320.253884,,good,Pot,,
1436962333.487833,,good,Pot,,
1436962335.904009,,good,Pot,,
1436962336.507373,,good,Pot,,
1436962341.927262,,good,Pot,,
1436962344.330113,,good,Pot,,
1436962363.575249,,good,Pot,,
1436962368.993371,,good,Pot,,
1436962378.616019,,good,Pot,,
1436962384.044328,,good,Pot,,
1436962384.645266,,good,Pot,,
1436962386.445769,,good,Pot,,
1436962392.448444,,good,Pot,,
1436962393.047586,,good,Pot,,
1436962399.049575,,good,Pot,,
1436962406.259696,,good,Pot,,
1436962410.47231,,good,Pot,,
1436962412.879496,,good,Pot,,
1436962418.282304,,good,Pot,,
1436962427.333882,,good,Pot,,
1436962429.747258,,good,Pot,,
1436962430.952362,,good,Pot,,
1436962444.807244,,good,Pot,,
1436962445.409751,,good,Pot,,
1436962458.042467,,good,Pot,,
1436962475.493731,,good,Pot,,
1436962481.527768,,good,Pot,,
1436962482.729151,,good,Pot,,
1436962488.732227,,good,Pot,,
1436962500.170005,,good,Pot,,
1436962502.574558,,good,Pot,,
1436962509.187852,,good,Pot,,
1436962516.424834,,good,Pot,,
1436962519.422977,,good,Pot,,
1436962521.214196,,good,Pot,,
1436962522.418528,,good,Pot,,
1436962523.622053,,good,Pot,,
1436962529.642375,,good,Pot,,
1436962533.856486,,good,Pot,,
1436962555.507523,,good,Pot,,
1436962558.503642,,good,Pot,,
1436962562.710582,,good,Pot,,
1436962569.325236,,good,Pot,,
1436962573.534413,,good,Pot,,
1436962589.77422,,good,Pot,,
1436962593.991111,,good,Pot,,
1436962597.596116,,good,Pot,,
1436962600.590016,,good,Pot,,
1436962604.793539,,good,Pot,,
1436962610.805507,,good,Pot,,
1436962613.212945,,good,Pot,,
1436962615.013304,,good,Pot,,
1436962620.440142,,good,Pot,,
1436962621.646196,,good,Pot,,
1436962640.276634,,good,Pot,,
1436962644.483447,,good,Pot,,
